epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.141,1.04624,0.93755,1.23753,0.90845,0.8866,0.91747,0.72942,0.83652,0.71162,1.14019,0.00024,0.00024,0.00024
2,428.959,1.05887,0.79968,1.22358,0.78405,0.89175,0.89324,0.68487,0.85043,1.04043,1.10095,0.00049505,0.00049505,0.00049505
3,634.823,1.01389,0.76219,1.17005,0.91948,0.87113,0.92883,0.74443,0.87073,0.60561,1.12559,0.000744952,0.000744952,0.000744952
4,841.428,1.08168,0.85492,1.21556,0.89653,0.84536,0.9201,0.70278,0.88045,0.74956,1.10006,0.000989706,0.000989706,0.000989706
5,1045.09,1.09938,0.82767,1.2014,0.90405,0.82561,0.90187,0.68253,0.88757,0.8549,1.0528,0.00122931,0.00122931,0.00122931
6,1248.87,1.10339,0.84454,1.21491,0.87117,0.87113,0.92603,0.70699,0.90674,0.67108,1.05423,0.00146377,0.00146377,0.00146377
7,1451.36,1.11539,0.84252,1.2015,0.95747,0.87113,0.94541,0.71223,0.92196,0.73354,1.04764,0.00169308,0.00169308,0.00169308
8,1652.28,1.11359,0.87455,1.22169,0.87208,0.73795,0.84356,0.62758,0.95687,0.89919,1.07611,0.0018614,0.0018614,0.0018614
9,1853.33,1.16624,0.85236,1.22173,0.783,0.78866,0.83859,0.53346,1.21794,1.09583,1.25518,0.0018416,0.0018416,0.0018416
10,2055.22,1.18662,0.83718,1.22978,0.82408,0.89344,0.90514,0.66554,0.95466,1.03084,1.08756,0.0018218,0.0018218,0.0018218
11,2256.88,1.18306,0.89398,1.22497,0.86868,0.80412,0.91252,0.67962,0.92111,1.38523,1.06712,0.001802,0.001802,0.001802
12,2458.04,1.18074,0.89447,1.22568,0.91234,0.90206,0.95207,0.72461,0.89837,0.6093,1.05412,0.0017822,0.0017822,0.0017822
13,2657.63,1.12045,0.90261,1.20695,0.94791,0.86598,0.95601,0.72589,0.86629,0.62227,1.03205,0.0017624,0.0017624,0.0017624
14,2861.75,1.12995,0.87898,1.19286,0.87768,0.88767,0.94348,0.69952,0.94577,0.86693,1.0535,0.0017426,0.0017426,0.0017426
15,3061.13,1.13719,0.85375,1.21213,0.93317,0.81959,0.9477,0.71999,0.923,0.6475,1.04991,0.0017228,0.0017228,0.0017228
16,3262.03,1.07933,0.84016,1.16579,0.93501,0.8299,0.92607,0.69934,0.93785,0.73974,1.07886,0.001703,0.001703,0.001703
17,3464.83,1.13365,0.87993,1.21033,0.89658,0.89372,0.94523,0.70431,0.94855,0.69308,1.06682,0.0016832,0.0016832,0.0016832
18,3666.59,1.0767,0.82157,1.15452,0.89044,0.79601,0.89411,0.6525,0.9858,0.74279,1.09766,0.0016634,0.0016634,0.0016634
19,3868.06,1.01737,0.75587,1.12193,0.79729,0.7732,0.83294,0.58441,1.10301,0.98062,1.19869,0.0016436,0.0016436,0.0016436
20,4069.53,1.00485,0.78329,1.13427,0.96449,0.84014,0.92384,0.7085,0.90062,0.82307,1.05516,0.0016238,0.0016238,0.0016238
21,4270.83,1.0506,0.83373,1.1549,0.94443,0.87606,0.95574,0.74049,0.89426,0.90132,1.05748,0.001604,0.001604,0.001604
22,4472.7,1.06241,0.80278,1.16098,0.92006,0.88985,0.96434,0.74695,0.9046,0.82422,1.05876,0.0015842,0.0015842,0.0015842
23,4673.73,1.06269,0.83833,1.1589,0.94602,0.93299,0.97493,0.76815,0.83268,0.57439,1.04895,0.0015644,0.0015644,0.0015644
24,4875.97,0.99171,0.73305,1.11801,0.87134,0.87277,0.92543,0.70269,0.89963,0.73457,1.08377,0.0015446,0.0015446,0.0015446
25,5078.44,1.00554,0.7425,1.13663,0.8882,0.88144,0.94453,0.72004,0.87197,0.60208,1.03828,0.0015248,0.0015248,0.0015248
26,5278.86,0.98802,0.76973,1.09886,0.91879,0.8165,0.91652,0.70118,0.92291,0.69216,1.08276,0.001505,0.001505,0.001505
27,5479.39,1.00893,0.75666,1.1359,0.95182,0.91645,0.97709,0.76836,0.82628,0.55118,1.01173,0.0014852,0.0014852,0.0014852
28,5681.42,1.02552,0.77533,1.14445,0.95893,0.91753,0.98113,0.80054,0.73611,0.54781,0.97525,0.0014654,0.0014654,0.0014654
29,5880.54,1.039,0.83944,1.1455,0.90508,0.83558,0.93488,0.74501,0.77626,0.63607,0.99634,0.0014456,0.0014456,0.0014456
30,6079.58,0.99091,0.71683,1.14254,0.89949,0.87649,0.93838,0.74274,0.83795,0.59905,1.01838,0.0014258,0.0014258,0.0014258
31,6280.21,0.99291,0.73402,1.11077,0.92421,0.94285,0.97616,0.78801,0.76388,0.55083,0.96007,0.001406,0.001406,0.001406
32,6480.51,0.97768,0.72222,1.10798,0.91469,0.91753,0.97627,0.75858,0.83651,0.62126,1.01007,0.0013862,0.0013862,0.0013862
33,6682.14,1.01866,0.74364,1.15383,0.93241,0.86598,0.9491,0.74514,0.8468,0.58243,1.00365,0.0013664,0.0013664,0.0013664
34,6883.7,0.95541,0.68439,1.1151,0.92874,0.90722,0.96541,0.80048,0.7718,0.53454,0.96528,0.0013466,0.0013466,0.0013466
35,7084.61,0.94331,0.68644,1.08281,0.9173,0.92268,0.966,0.769,0.77423,0.60905,0.95375,0.0013268,0.0013268,0.0013268
36,7283.75,0.95132,0.66399,1.08889,0.94459,0.9433,0.97961,0.79945,0.70379,0.52125,0.93499,0.001307,0.001307,0.001307
37,7482.87,0.9904,0.69336,1.11522,0.9775,0.95876,0.9868,0.81026,0.68572,0.48514,0.9407,0.0012872,0.0012872,0.0012872
38,7680.38,1.00533,0.69159,1.14379,0.95798,0.94007,0.98463,0.80138,0.76355,0.5017,0.96104,0.0012674,0.0012674,0.0012674
39,7880.83,0.93892,0.66477,1.10233,0.94426,0.9605,0.98727,0.81149,0.69481,0.4726,0.93725,0.0012476,0.0012476,0.0012476
40,8078.61,0.90694,0.64629,1.0802,0.96264,0.92971,0.98058,0.8065,0.76385,0.49402,0.94698,0.0012278,0.0012278,0.0012278
41,8279.27,0.93235,0.64254,1.09807,0.95822,0.9458,0.98602,0.82545,0.71197,0.45986,0.93233,0.001208,0.001208,0.001208
42,8481.94,0.98516,0.72616,1.11904,0.97334,0.97423,0.98909,0.82524,0.6889,0.44326,0.91412,0.0011882,0.0011882,0.0011882
43,8680.32,0.89812,0.64324,1.08554,0.96827,0.98454,0.99268,0.83292,0.6645,0.42808,0.90831,0.0011684,0.0011684,0.0011684
44,8882.49,0.95395,0.69837,1.11181,0.97931,0.96907,0.99145,0.83111,0.70385,0.44147,0.92307,0.0011486,0.0011486,0.0011486
45,9084.52,0.90594,0.61128,1.07867,0.9739,0.96184,0.99067,0.82823,0.70624,0.43701,0.93073,0.0011288,0.0011288,0.0011288
46,9285.83,0.90216,0.64807,1.08119,0.98375,0.9364,0.98813,0.79874,0.79905,0.5479,1.00881,0.001109,0.001109,0.001109
47,9489.64,0.87701,0.61236,1.04435,0.9295,0.88355,0.9706,0.75595,0.87906,0.68949,1.01898,0.0010892,0.0010892,0.0010892
48,9690.1,0.90024,0.64861,1.06707,0.94468,0.96834,0.98971,0.83228,0.64877,0.48897,0.91679,0.0010694,0.0010694,0.0010694
49,9891.1,0.85456,0.60403,1.05398,0.96017,0.96392,0.98932,0.8281,0.67048,0.44207,0.92488,0.0010496,0.0010496,0.0010496
50,10090.4,0.88775,0.64225,1.06744,0.93484,0.96143,0.98305,0.79423,0.78616,0.49294,0.97206,0.0010298,0.0010298,0.0010298
51,10290.8,0.89092,0.5965,1.06394,0.95616,0.96907,0.9904,0.82359,0.67903,0.45467,0.92112,0.00101,0.00101,0.00101
52,10490.7,0.89006,0.59812,1.06253,0.95426,0.96796,0.9801,0.82811,0.66853,0.43863,0.93181,0.0009902,0.0009902,0.0009902
